,n_voters,n_cands,n_issues,voters_p,cands_p,app_k,app_thresh,intensity_dist,election_rules,n_reps,default_style,delegation_style,best_k,n_delegators,intensities,mean,variance,skew,kurtosis
57,100,60,200,None,0.9,100,0.5,uniform,borda,21,uniform,incisive,None,None,True,0.4939325,0.05424254794374999,0.006431026709690446,-0.9040939166364717
58,100,60,200,None,0.9,100,0.5,uniform,plurality,21,uniform,incisive,None,None,True,0.49357700000000004,0.054433030071,0.0030270762269476253,-0.9017030104125854
59,100,60,200,None,0.9,100,0.5,uniform,rav,21,uniform,incisive,None,None,True,0.493547,0.054463708791,0.0017229822455789238,-0.8996127915675576
60,100,60,200,None,0.9,100,0.5,uniform,irv,21,uniform,incisive,None,None,True,0.493439,0.054521568278999996,0.0004103333094502461,-0.898808506002299
61,100,60,200,None,0.9,100,0.5,uniform,max_agreement,21,uniform,incisive,None,None,True,0.493911,0.054260649078999995,0.005996325318994138,-0.903896769081622
62,100,60,200,None,0.9,100,0.5,uniform,random_winners,21,uniform,incisive,None,None,True,0.49341549999999995,0.05452563685975,0.0005636884399754936,-0.8987471164702843
63,100,60,200,None,1.0,100,0.5,uniform,max_approval,21,uniform,incisive,None,None,True,0.4960205,0.054500716079749996,0.06838495356583395,-0.8945886895898099
64,100,60,200,None,1.0,100,0.5,uniform,borda,21,uniform,incisive,None,None,True,0.4960205,0.054500716079749996,0.06838495356583395,-0.8945886895898099
65,100,60,200,None,1.0,100,0.5,uniform,plurality,21,uniform,incisive,None,None,True,0.4960205,0.054500716079749996,0.06838495356583395,-0.8945886895898099
66,100,60,200,None,1.0,100,0.5,uniform,rav,21,uniform,incisive,None,None,True,0.4960205,0.054500716079749996,0.06838495356583395,-0.8945886895898099
67,100,60,200,None,1.0,100,0.5,uniform,irv,21,uniform,incisive,None,None,True,0.4960205,0.054500716079749996,0.06838495356583395,-0.8945886895898099
68,100,60,200,None,1.0,100,0.5,uniform,max_agreement,21,uniform,incisive,None,None,True,0.4960205,0.054500716079749996,0.06838495356583395,-0.8945886895898099
69,100,60,200,None,1.0,100,0.5,uniform,random_winners,21,uniform,incisive,None,None,True,0.4960205,0.054500716079749996,0.06838495356583395,-0.8945886895898099
